お名前太郎,男,onamae＠test.com,813-0034,福岡市東区多の津,null,意見
田中啓太,男,tanaka＠test.com,701-2623,岡山県美作市英田青野,null,意見
大谷由美,女,ootani＠test.com,999-6708,山形県酒田市泉興野,null,意見
谷一太郎,男,tani＠test.com,990-0055,山形県山形市相生町,null,意見
久保ニ太郎,男,kubo＠test.com,990-2435,山形県山形市青 田,null,意見
久保山三太郎,男,kuboyama＠test.com,990-2324,山形県山形市青田南,null,意見
田口四太郎,男,taguti＠test.com,990-2222,山形県山形市青 野,null,意見
井口五太郎,男,iguti＠test.com,990-2214,山形県山形市青 柳,null,意見
川上彩,女,inoue＠test.com,990-2353,山形県山形市明石堂,null,意見
高口友美,女,kouguti＠test.com,990-2481,山形県山形市あかねケ丘,null,意見
中田翼,男,nakata＠test.com,990-2162,山形県山形市あけぼの,null,意見
沢田由紀,女,sawada＠test.com,990-0025,山形県山形市あこや町 ,null,意見
鷹太郎,男,taka＠test.com,990-2434,山形県山形市旭が丘,null,意見
